வார்த்தைகள்,எண்ணிக்கை
முழுமையடைந்தது,1
மகனை,1
நிலையிலேயே,1
அஸிக்னிக்கும்,1
திறந்துகிடந்த,1
நோக்கியது,1
விலகிப்படுத்துக்கொண்டாள்,1
மீட்டு,1
பணிவால்,1
அடிமரத்தை,1
ஏற்றிவைத்தனர்,1
இருநூறாண்டுகால,1
உதித்து,1
ஓட்டைவழியாக,1
அலங்கரிக்கப்பட்டு,1
காட்டுகிறேன்,1
கொடிவழிவந்தவர்,1
முளைத்தெழுந்த,1
நீரரணுக்கு,1
அன்பும்,1
வேதகோஷமும்,1
விண்ணகத்தில்,1
தூங்கிக்கொண்டிருக்கும்,1
வரலாற்றையும்,1
கிட்டித்து,1
இருட்டின்,1
கடும்,1
மூன்றடுக்கு,1
நெய்,1
அவர்களிலிருந்து,1
உனக்கான,1
விளையாடினர்,1
ஐம்பூதங்களும்,1
இடமும்,1
ஐந்துமாதங்களாக,1
ஈச்சைஓலைகளால்,1
குருகுலத்து,1
குரலெழுப்பினான்,1
பிழையா,1
நாகத்திலிருந்து,1
இருவரும்,1
எளியவையும்,1
காணிக்கையும்,1
குலதெய்வங்களின்,1
சொல்லேயாகும்,1
சுடர்விட,1
முதல்நாகத்துக்கு,1
புகழுடன்,1
சிதையேறுவது,1
உயிரற்றதைப்போலக்,1
நெருப்பில்,1
எண்ணமுடியாது,1
விழிகளுடன்,1
விரிந்துள்ள,1
சீழைப்,1
துரோகம்,1
இருந்தாலும்,1
ஆணையை,1
தளிரிலைகளாலும்,1
தேவருலகுக்கே,1
நீர்த்துளியையும்,1
மூவுலகும்,1
ஐம்பத்தாறுநாட்டு,1
சமுத்திரத்தின்,1
புரியாது,1
நிறுத்திவிட்டு,1
தங்களவர்,1
மாணவர்,1
சமவெளியையும்,1
ஆடுகளத்திலும்,1
கிழக்கிலும்,1
முடிவிலாது,1
ஓசையில்,1
உரக்கச்சிரித்தபடி,1
நாகர்கள்,1
பகுதியை,1
திகைத்தனர்,1
சப்தரிஷி,1
பிறப்பவனே,1
முன்னும்,1
செய்தான்,1
நுழைவாசலின்,1
பிறந்திருக்கும்,1
கேளாமால்,1
முறுகியபடி,1
தோன்றும்,1
வேள்வித்தீ,1
உருவாயின,1
அமைதிசெய்யும்,1
சகமனிதனை,1
நினைவுகள்,1
உருவாக்கிவிடுவான்,1
பலாசவிறகையும்,1
அளிக்க,1
வெளிமடைநோக்கிச்,1
லதாமண்டபத்தில்,1
ஒன்றுமில்லைஎன்னுடன்,1
காலைவெளிச்சத்தில்,1
மெல்லமெல்ல,1
செல்லாமலிருக்க,1
அசைவில்லாததுபோலத்,1
தாலிச்சின்னம்போல,1
பெருமுழவும்,1
நினைத்தீர்கள்,1
அங்கேயே,1
கிருபர்,1
உடன்பிறந்தாரை,1
மூங்கிலைச்,1
அந்தரீயத்தை,1
விழுந்துமறைந்தாள்,1
மரத்தடியில்,1
இருளைப்பற்றித்தான்,1
போலி,1
ஆன்ம,1
காணவந்த,1
அகன்ற,1
சிறகுகளுடன்,1
காட்சியொன்றைக்,1
போரின்,1
கோபுரங்கள்,1
மேல்பகுதியை,1
ஈச்சங்குருத்துக்களாலும்,1
விரித்தார்,1
விடைகொடுக்கவேண்டும்அதுதான்,1
மனிதகுலத்தில்,1
அஸ்தினபுரத்தை,1
வரவில்லையே,1
ஓவியப்பரப்பு,1
மெலிந்த,1
ஒருங்கிணைத்தார்,1
அகக்கையில்,1
துருவேறிய,1
பித்தெழுந்த,1
அந்தப்புரத்தின்,1
மின்னலிறங்குவதுபோல,1
வந்திருக்கிறானா,1
இல்லைமுடியாதுஇந்த,1
வனலீலைக்குச்,1
இரையானான்,1
ஒன்றைத்,1
இறக்கினான்,1
வேலுடன்,1
நாளையும்,1
கருகல்முனைகளுக்குள்,1
காடுகளின்,1
யுயுத்சுவிடம்,1
குலமே,1
அழைத்தது,1
ஒருவனே,1
மரணக்கணத்தில்,1
கொண்டுசென்றார்கள்,1
அதுவன்றி,1
ஒளிவிடும்,1
வாழைக்கன்றுபோல,1
திசைமுனைகளில்,1
இப்போதே,1
புரிந்துகொள்ளமுடியாது,1
எழுவதன்,1
தாடியாகவும்,1
அழைக்க,1
செவ்விழிகளும்,1
கற்பனையில்,1
ஒற்றைச்சொல்லில்,1
வீட்டுத்திண்ணைகளில்,1
தொடர்ந்துகொண்டிருந்தன,1
ஆயிரத்தி,1
தேர்வுசெய்யலாம்,1
விலகினார்கள்,1
குறியை,1
ஞானத்தை,1
மலைக்கிராமத்தை,1
இவ்வுலகமெங்கும்,1
அறுபது,1
பருந்துகளும்,1
கொண்டதாக,1
கால்களை,1
உயிரசைவே,1
மனித,1
கட்டங்களில்,1
மைந்தர்களுக்காக,1
முன்னகர்ந்தன,1
ஓலம்,1
மீன்களும்,1
காடும்,1
விதியை,1
முடிக்கும்படி,1
அத்தெய்வங்களெல்லாம்,1
